"Сезон коллекции";"Вид сезона";"Название коллекции";"Первая цена";"Текущая цена";"Название модели";"Уникальный код модели";"Линейка размеров";Пол;"Тип обуви";"Возможные цвета";"Материал изготовления";"Страна изготовления";url
;;;;6900;FL-TAI5-6;FL-TAI5-6;36,37,38,39,40;Женский;БОСОНОЖКИ;синий;"Босоножки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/fl-tai5-6
;;;;9400;FS-X6401-19;FS-X6401-19;36,37,38;Женский;БОСОНОЖКИ;персиковый;"Босоножки из кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/fs-x6401-19
;;;;9400;FS-X6401-20;FS-X6401-20;37,38,39;Женский;БОСОНОЖКИ;бежевый;"Босоножки из кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/fs-x6401-20
;;;;7900;FY-DNR1-19;FY-DNR1-19;36,37,38,39,40,41;Женский;БОСОНОЖКИ;мультиколор;"Кожаные босоножки с элементами из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/fy-dnr1-19
;;;;7900;FY-DNR1-20;FY-DNR1-20;35,36,37,38,39,40;Женский;БОСОНОЖКИ;мультиколор;"Кожаные босоножки с элементами из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/fy-dnr1-20
;;;;10400;NA-RAD3-6;NA-RAD3-6;36,37,38,39,40,41;Женский;БОСОНОЖКИ;синий;"Босоножки из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/na-rad3-6
;;;;7400;PW-NAO6-1;PW-NAO6-1;36,37,38,39,40,41;Женский;БОСОНОЖКИ;черный;"Босоножки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/pw-nao6-1
;;;;7400;PW-NAO6-2;PW-NAO6-2;35,36,37,38,39;Женский;БОСОНОЖКИ;коричневый;"Босоножки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/pw-nao6-2
;;;;7400;PW-NAO7-13;PW-NAO7-13;36,37,38,39;Женский;БОСОНОЖКИ;желтый;"Босоножки из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/pw-nao7-13
;;;;7400;PW-NAO7-6;PW-NAO7-6;35,36,37,38,39,40;Женский;БОСОНОЖКИ;синий;"Босоножки из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/pw-nao7-6
;;;;9400;WN-FLP9-1;WN-FLP9-1;36,37,37.5,38,38.5,39;Женский;БОСОНОЖКИ;черный;"Босоножки из велюра";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/wn-flp9-1
;;;;5900;XT-STF1-3;XT-STF1-3;35,36,37,38,39,40;Женский;БОСОНОЖКИ;бежевый;"Босоножки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/xt-stf1-3
;;;9550;7640;AS-GES3-19;AS-GES3-19;36.5,37,37.5,38,39,39.5;Женский;БОСОНОЖКИ;мультиколор;"Босоножки из велюра, высота каблука 80 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/as-ges3-19
;;;12050;9640;CR-ALY1-10;CR-ALY1-10;36,37,37.5,38,38.5,39,40,41;Женский;БОСОНОЖКИ;серый;"Босоножки из лаковой кожи, высота каблука 95 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cr-aly1-10
;;;8250;6600;PR-X0090-6;PR-X0090-6;36,37,37.5,38,39,40;Женский;БОСОНОЖКИ;синий;"Босоножки из велюра, высота каблука 75 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/pr-x0090-6
;;;8250;6600;PR-X0090-7;PR-X0090-7;37,37.5,38,38.5,39;Женский;БОСОНОЖКИ;золотой;"Босоножки из металлизированной кожи, высота каблука 75 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/pr-x0090-7
;;;;12900;CR-RIM1-20;CR-RIM1-20;36,37,38;Женский;"НА ТАНКЕТКЕ";мультиколор;"Босоножки из лаковой кожи из элементами из велюра";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/cr-rim1-20
;;;;12900;CR-RIM2-3;CR-RIM2-3;36,37,38;Женский;"НА ТАНКЕТКЕ";бежевый;"Кожаные босоножки с отделкой из лаковой кожи с перфорацией";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/cr-rim2-3
;;;;12900;CR-RIM2-6;CR-RIM2-6;37,38,39;Женский;"НА ТАНКЕТКЕ";синий;"Кожаные босоножки с отделкой из лаковой кожи с перфорацией";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/cr-rim2-6
;;;;7400;FG-GMO13-20;FG-GMO13-20;36,37,38,39,40;Женский;"НА ТАНКЕТКЕ";белый;"Туфли из перфорированной кожи с отделкой из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/fg-gmo13-20
;;;;6400;FG-MLG11-3;FG-MLG11-3;36,37,38,39,40;Женский;"НА ТАНКЕТКЕ";бежевый;"Туфли из кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/fg-mlg11-3
;;;;7900;GP-PRA1-3;GP-PRA1-3;36,37,38,39;Женский;"НА ТАНКЕТКЕ";бежевый;"Босоножки из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/gp-pra1-3
;;;;7900;GP-PRA2-6;GP-PRA2-6;36,37,38,39,40,41;Женский;"НА ТАНКЕТКЕ";синий;"Босоножки из велюра";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/gp-pra2-6
;;;;6900;MT-SNY20-3;MT-SNY20-3;35,36,37,38,39,40;Женский;"НА ТАНКЕТКЕ";бежевый;"Туфли из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/mt-sny20-3
;;;;6900;MT-SNY20-6;MT-SNY20-6;35,36,37,38,39,41;Женский;"НА ТАНКЕТКЕ";синий;"Туфли из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/mt-sny20-6
;;;;5900;MT-SNY26-5;MT-SNY26-5;35,36,37,38,39,40,41;Женский;"НА ТАНКЕТКЕ";красный;"Туфли из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/mt-sny26-5
;;;;10400;NA-NMC1-20;NA-NMC1-20;36,37,38,39,40;Женский;"НА ТАНКЕТКЕ";мультиколор;"Кожаные босоножки с элементами из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/na-nmc1-20
;;;;10400;NA-NOD1-6;NA-NOD1-6;37,38,39,40,41;Женский;"НА ТАНКЕТКЕ";синий;"Туфли из кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/na-nod1-6
;;;;6900;PW-VRA2-5;PW-VRA2-5;35,36,37,38,39,40;Женский;"НА ТАНКЕТКЕ";красный;"Босоножки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/wedges/pw-vra2-5
;;;;5400;FG-MSH1-1;FG-MSH1-1;36,37,38,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";черный;"Лоферы из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/fg-msh1-1
;;;;5400;FG-MSH1-13;FG-MSH1-13;35,36,37,38,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";желтый;"Лоферы из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/fg-msh1-13
;;;;5400;FG-MSH1-5;FG-MSH1-5;35,36,37,38,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";красный;"Лоферы из велюра";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/fg-msh1-5
;;;;6400;FG-SMA1-4R1;FG-SMA1-4R1;36,37,38,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";белый;"Кожаные полуботинки на шнурках";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/fg-sma1-4r1
;;;;5900;JH-MAX1-14;JH-MAX1-14;36,37,38,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";зеленый;"Лоферы из велюра с металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/jh-max1-14
;;;;5900;JH-MAX1-5;JH-MAX1-5;35,36,37,38,39;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";красный;"Лоферы из велюра с металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/jh-max1-5
;;;;6400;JH-MAX2-13;JH-MAX2-13;35,36,37,38,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";желтый;"Лоферы из велюра с металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/jh-max2-13
;;;;6400;JH-MAX2-22;JH-MAX2-22;36,37,38,39,40,41;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";сиреневый;"Лоферы из велюра с металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/jh-max2-22
;;;;5900;MT-PVN1-17;MT-PVN1-17;36,36.5,37,37.5,38,38.5,39,40;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";белый;"Лоферы из кожи с контрастной окантовкой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/mt-pvn1-17
;;;;6900;PW-SPR3-15;PW-SPR3-15;36,37,38,39;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";оранжевый;"Кожаные полуботинки на шнурках";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers/pw-spr3-15
;;;;6400;FG-BEA4-6;FG-BEA4-6;35,36,37,38,39,40;Женский;БАЛЕТКИ;синий;"Балетки из кожи с фирменной фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/fg-bea4-6
;;;;6900;FL-LAV2-19;FL-LAV2-19;36,37,38,39,40,41;Женский;БАЛЕТКИ;мультиколор;"Кожаные балетки с отделкой из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/fl-lav2-19
;;;;6900;FL-LAV2-20;FL-LAV2-20;35,36,37,38,39,40;Женский;БАЛЕТКИ;мультиколор;"Кожаные балетки с отделкой из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/fl-lav2-20
;;;;6400;MT-TINA1-4;MT-TINA1-4;35,36,37,37.5,38,38.5,39,40;Женский;БАЛЕТКИ;белый;"Балетки из кожи с фирменным декором";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/mt-tina1-4
;;;;6400;MT-TINA1-6;MT-TINA1-6;36,37,37.5,38,38.5,39,40,41;Женский;БАЛЕТКИ;синий;"Балетки из кожи с фирменным декором";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/mt-tina1-6
;;;;5900;XT-ADR1-3;XT-ADR1-3;35,36,37,38,39,40;Женский;БАЛЕТКИ;бежевый;"Балетки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/xt-adr1-3
;;;;6900;YG-ZAR1-1;YG-ZAR1-1;35,36,37,38,39,40;Женский;БАЛЕТКИ;черный;"Кожаные балетки с фирменной металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/yg-zar1-1
;;;;6900;YG-ZAR1-3;YG-ZAR1-3;36,37,38,39,40,41;Женский;БАЛЕТКИ;бежевый;"Кожаные балетки с фирменной металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats/yg-zar1-3
;;;;9400;GO-MET1-6;GO-MET1-6;37,38,39,40;Женский;МОКАСИНЫ;голубой;"Кожаные мокасины с фирменной металлической фурнитурой";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/go-met1-6
;;;;6400;JH-MOK1-4;JH-MOK1-4;36,37,38,39,40;Женский;МОКАСИНЫ;белый;"Мокасины из кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/jh-mok1-4
;;;;6900;JH-MOK2-13;JH-MOK2-13;36,37,38,39,40,41;Женский;МОКАСИНЫ;желтый;"Мокасины из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/jh-mok2-13
;;;;6900;JH-MOK2-22;JH-MOK2-22;35,36,37,38,39,40;Женский;МОКАСИНЫ;сиреневый;"Мокасины из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/jh-mok2-22
;;;;6900;JH-MOK2-5;JH-MOK2-5;35,36,37,38,39;Женский;МОКАСИНЫ;красный;"Мокасины из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/jh-mok2-5
;;;;6400;TF-KAY1-13;TF-KAY1-13;37,38,39,40,41;Женский;МОКАСИНЫ;желтый;"Мокасины из кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/tf-kay1-13
;;;;6400;TF-KAY1-14;TF-KAY1-14;36,37,38,39,40;Женский;МОКАСИНЫ;зеленый;"Мокасины из кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/tf-kay1-14
;;;;6400;TF-KAY1-6;TF-KAY1-6;36,37,38,39,40;Женский;МОКАСИНЫ;синий;"Мокасины из кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins/tf-kay1-6
;;;;10900;FG-GLZ1-13;FG-GLZ1-13;36,37,38,39;Женский;СНИКЕРЫ;мультиколор;"Кеды из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/sneakers/fg-glz1-13
;;;;9400;FG-GLZ1-22;FG-GLZ1-22;36,37,38,39;Женский;СНИКЕРЫ;сиреневый;"Кеды из велюра с кожаной отделкой";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/sneakers/fg-glz1-22
;;;;7900;HM-VRT1-6;HM-VRT1-6;36,37,38,39,40,41;Женский;СНИКЕРЫ;синий;"Кожаные кеды с отделкой из велюра";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/sneakers/hm-vrt1-6
;;;;9400;RD-JES1-3;RD-JES1-3;36,37,38,39;Женский;СНИКЕРЫ;бежевый;"Кожаные кеды с отделкой из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/sneakers/rd-jes1-3
;;;;5900;TF-LOR1-35;TF-LOR1-35;;Женский;САНДАЛИИ;розовый;"Сандалии из металлизированной кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-lor1-35
;;;;6400;TF-MRS1-15;TF-MRS1-15;35,36,37,38,39,40;Женский;САНДАЛИИ;оранжевый;"Сандалии из кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs1-15
;;;;6400;TF-MRS1-23;TF-MRS1-23;36,37,38,39,40;Женский;САНДАЛИИ;зеленый;"Сандалии из кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs1-23
;;;;6400;TF-MRS1-32;TF-MRS1-32;36,37,38,39,40,41;Женский;САНДАЛИИ;коричневый;"Сандалии из кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs1-32
;;;;6400;TF-MRS3-19;TF-MRS3-19;;Женский;САНДАЛИИ;бежевый;"Кожаные сандалии с элементами из металлизированной кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs3-19
;;;;6400;TF-MRS3-20;TF-MRS3-20;36,37,38,39,40,41;Женский;САНДАЛИИ;черный;"Кожаные сандалии с элементами из металлизированной кожи";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs3-20
;;;;6400;TF-MRS5-1;TF-MRS5-1;;Женский;САНДАЛИИ;черный;"Кожаные сандалии с металлической фурнитурой";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs5-1
;;;;6400;TF-MRS5-4;TF-MRS5-4;;Женский;САНДАЛИИ;белый;"Кожаные сандалии с металлической фурнитурой";Бразилия;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/tf-mrs5-4
;;;;5400;WN-AMO5-19R1;WN-AMO5-19R1;35,36,37,38,39,40,41;Женский;САНДАЛИИ;бежевый;"Сандалии из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/wn-amo5-19r1
;;;;5400;WN-AMO7-18R1;WN-AMO7-18R1;35,36,37,38,39,40;Женский;САНДАЛИИ;бежевый;"Сандалии из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/sandals/wn-amo7-18r1
;;;;;;;;Мужской;"НА ШНУРКАХ";;;;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups
;;;;;;;;Мужской;МОКАСИНЫ;;;;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins
;;;;;;;;Мужской;СНИКЕРЫ;;;;http://www.carlopazolini.com/ru/collection/men/shoes/sneakers
;;;;;;;;Мужской;САНДАЛИИ;;;;http://www.carlopazolini.com/ru/collection/men/shoes/sandals
;;;;7900;SD-TOL1-11;SD-TOL1-11;40,41,42,43;Мужской;ПОЛУБОТИНКИ;бордовый;"Полуботинки из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/sd-tol1-11
;;;5750;4600;FG-RDS1-1;FG-RDS1-1;40,41,42,43,44;Мужской;ПОЛУБОТИНКИ;черный;"Полуботинки из кожи.";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/fg-rds1-1
;;;10750;8600;IL-X9417-6;IL-X9417-6;40,41,43,44,45;Мужской;ПОЛУБОТИНКИ;синий;"Полуботинки из велюра.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/il-x9417-6
