"Сезон коллекции";"Вид сезона";"Название коллекции";"Первая цена";"Текущая цена";"Название модели";"Уникальный код модели";"Линейка размеров";Пол;"Тип обуви";"Возможные цвета";"Материал изготовления";"Страна изготовления";url
;;;;;;;;Женский;;;;;http://www.carlopazolini.com/ru/collection/women/shoes
;;;;;;;;Мужской;;;;;http://www.carlopazolini.com/ru/collection/men/shoes
;;;;;;;;;;;;;http://www.carlopazolini.com/ru/
;;;;;;;;Женский;БОСОНОЖКИ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals
;;;;;;;;Женский;"НА ТАНКЕТКЕ";;;;http://www.carlopazolini.com/ru/collection/women/shoes/wedges
;;;;;;;;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";;;;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers
;;;;;;;;Женский;БАЛЕТКИ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats
;;;;;;;;Женский;МОКАСИНЫ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins
;;;;;;;;Женский;СНИКЕРЫ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/sneakers
;;;;;;;;Женский;САНДАЛИИ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/sandals
;;;;12400;AS-DRA2-3;AS-DRA2-3;37,38,39;Женский;ТУФЛИ;бежевый;"Туфли из кожи с металлической фурнитурой";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/as-dra2-3
;;;;12900;AS-KDY1-3;AS-KDY1-3;36,37,38;Женский;ТУФЛИ;бежевый;"Туфли из лаковой кожи с перфорацией";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/as-kdy1-3
;;;;14400;CR-MAI4-12;CR-MAI4-12;36,37;Женский;ТУФЛИ;розовый;"Туфли из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/cr-mai4-12
;;;;7400;FL-FIN7-1;FL-FIN7-1;35,36,36.5,37,37.5,38,39;Женский;ТУФЛИ;черный;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fin7-1
;;;;7400;FL-FIN7-5;FL-FIN7-5;35,36,36.5,37,37.5,38,38.5,39;Женский;ТУФЛИ;красный;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fin7-5
;;;;8900;FL-FIN8-3;FL-FIN8-3;36,36.5,37,37.5,38,39;Женский;ТУФЛИ;бежевый;"Туфли из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fin8-3
;;;;8900;FL-FORT1-10R1;FL-FORT1-10R1;36,37,38,39;Женский;ТУФЛИ;серый;"Туфли из лаковой кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fort1-10r1
;;;;6400;FL-GLF2-1;FL-GLF2-1;36,37,38,39,40;Женский;ТУФЛИ;черный;"Туфли из кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-glf2-1
;;;;6400;FL-GLF2-3;FL-GLF2-3;36,37,38,39,40;Женский;ТУФЛИ;бежевый;"Туфли из кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-glf2-3
;;;;6900;FL-OKT1-1R2;FL-OKT1-1R2;36,36.5,37,37.5,38,38.5,39,40;Женский;ТУФЛИ;черный;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-okt1-1r2
;;;;6900;FL-OKT1-3;FL-OKT1-3;36,36.5,37,37.5,38,38.5,39,40;Женский;ТУФЛИ;бежевый;"Туфли их кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-okt1-3
;;;;6900;FL-PTN1-3R1;FL-PTN1-3R1;36,37,37.5,38,38.5,39;Женский;ТУФЛИ;бежевый;"Кожаные туфли с отделкой из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-ptn1-3r1
;;;;6900;FL-PTN2-22;FL-PTN2-22;36,36.5,37,37.5,38,39;Женский;ТУФЛИ;сиреневый;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-ptn2-22
;;;;12900;LF-ELC1-13;LF-ELC1-13;36,37,38;Женский;ТУФЛИ;желтый;"Туфли из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/lf-elc1-13
;;;;12900;LF-ELC1-33;LF-ELC1-33;37,38,39;Женский;ТУФЛИ;бежевый;"Туфли из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/lf-elc1-33
;;;;7400;MT-YLN1-2;MT-YLN1-2;36,37,37.5,38,38.5,39;Женский;ТУФЛИ;коричневый;"Туфли из велюра";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/mt-yln1-2
;;;;8900;WN-JUZ2-3;WN-JUZ2-3;35,36,36.5,37,37.5,39;Женский;ТУФЛИ;бежевый;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/wn-juz2-3
;;;12050;9640;AS-GES1-20;AS-GES1-20;36,37,37.5,38,39,39.5;Женский;ТУФЛИ;мультиколор;"Кожаные туфли с элементами из прозрачного пластика, высота каблука 80 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/as-ges1-20
;;;10750;8600;BI-X2004-14;BI-X2004-14;35,36,37,37.5,38,38.5;Женский;ТУФЛИ;зеленый;"Туфли из лаковой кожи, высота каблука 70 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/bi-x2004-14
;;;5750;4600;FL-GLF2-20;FL-GLF2-20;35,36,37,38,40,41;Женский;ТУФЛИ;мультиколор;"Туфли из кожи с элементами из лаковой, высота каблука 85 мм.";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-glf2-20
;;;5750;4600;FL-GLF3-20;FL-GLF3-20;36,37,38,39,40;Женский;ТУФЛИ;мультиколор;"Туфли из кожи питона с элементами из лаковой кожи, высота каблука 85 мм.";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-glf3-20
;;;5750;4600;FL-ZEL4-12;FL-ZEL4-12;35,36,36.5,37.5,40;Женский;ТУФЛИ;розовый;"Туфли из лаковой кожи, высота каблука 90 мм.";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-zel4-12
;;;12050;9640;GA-X2727-1;GA-X2727-1;36,36.5,37,37.5,38,38.5,39,39.5;Женский;ТУФЛИ;черный;"Туфли из лаковой кожи, высота каблука 35 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/ga-x2727-1
;;;12050;9640;GA-X2727-12;GA-X2727-12;37,37.5,38,38.5,39,40;Женский;ТУФЛИ;розовый;"Туфли из лаковой кожи, высота каблука 35 мм.";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/ga-x2727-12
;;;5750;4600;IS-AIS8-20;IS-AIS8-20;36,37,38,39;Женский;ТУФЛИ;мультиколор;"Туфли из кожи питона с элементами из кожи, высота каблука 100 мм.";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/is-ais8-20
;;;;11900;AS-DRA1-19;AS-DRA1-19;36,37,38;Женский;БОСОНОЖКИ;бежевый/белый;"Босоножки из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/as-dra1-19
;;;;11900;AS-DRA1-20;AS-DRA1-20;37,38,39;Женский;БОСОНОЖКИ;черный/белый;"Босоножки из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/as-dra1-20
;;;;11900;CL-BRO1-36;CL-BRO1-36;36,37,38;Женский;БОСОНОЖКИ;персиковый;"Сабо из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cl-bro1-36
;;;;12900;CL-JNY3-3;CL-JNY3-3;36,37,38;Женский;БОСОНОЖКИ;бежевый;"Босоножки из кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cl-jny3-3
;;;;12900;CL-JNY2-1;CL-JNY2-1;37,38,39;Женский;БОСОНОЖКИ;черный;"Босоножки из кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cl-jny2-1
;;;;11900;CL-OCR1-1;CL-OCR1-1;37,38,39;Женский;БОСОНОЖКИ;черный;"Босоножки из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cl-ocr1-1
;;;;11900;CL-OCR1-12;CL-OCR1-12;36,37,38;Женский;БОСОНОЖКИ;розовый;"Босоножки из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cl-ocr1-12
;;;;11900;CL-SPO1-19;CL-SPO1-19;37,38,39;Женский;БОСОНОЖКИ;мультиколор;"Босоножки из металлизированной кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cl-spo1-19
;;;;13400;CR-FRF2-1;CR-FRF2-1;37,38,39;Женский;БОСОНОЖКИ;черный;"Босоножки из велюра";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/cr-frf2-1
;;;;7900;FL-STB1-4;FL-STB1-4;35,36,37,38,39;Женский;БОСОНОЖКИ;белый;"Босоножки из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals/fl-stb1-4
